3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
5,4.0,L,L,repeat,NW-NE-NE-SW-NW,BO-SGL-B1-GR-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,3.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
